polarity,id,date,query,user,text
4,1961765649,Fri May 29 10:00:39 PDT 2009,NO_QUERY,karlafung,"@kaitibug For a wedding! In fact, currently on Virgin America. Crazy airline! Weeee wifi in the air! "
0,2241446515,Fri Jun 19 10:57:46 PDT 2009,NO_QUERY,code2klabs,"damn, #jailbreak for #iphone 3.0 is out and my battery is on low power  have to recharge first....."
0,2327158301,Thu Jun 25 07:59:43 PDT 2009,NO_QUERY,KatWaterflame,I feel so naked without my watch!!! 
4,1823818049,Sat May 16 23:04:59 PDT 2009,NO_QUERY,couturefit,@TechAficionado it was hot as hell!! But I had a nice time in kels section 
0,2053128523,Sat Jun 06 03:23:07 PDT 2009,NO_QUERY,Chuckles18,I don't want this year to go fast 
0,2221440593,Thu Jun 18 05:23:18 PDT 2009,NO_QUERY,Gemopal2,Yea bt i dnt wana upset u tho 
0,1822672307,Sat May 16 20:07:06 PDT 2009,NO_QUERY,ReneeHand,@kylebridgesXD @Drakealicious I know the feeling. 
0,1979956116,Sun May 31 05:09:48 PDT 2009,NO_QUERY,mikefrench668,Morning all! Looks like another decent day in the Northwoods! AM Sun but PM showers 
4,2186579047,Mon Jun 15 19:02:22 PDT 2009,NO_QUERY,_alover_,@gcgonc loooooove The Big Bang Theory!!! i's so funny!! welcome back 
4,1992189827,Mon Jun 01 08:21:01 PDT 2009,NO_QUERY,MissBabySol,"Done baking... @dijanad what, you dont like the cake? wait till we get to the icing  you'll love it! @antonflanders makes very tasty cakes"
0,1694589417,Mon May 04 03:18:25 PDT 2009,NO_QUERY,miszsarahz,@eujinvoon don't be like that 
0,1993556896,Mon Jun 01 10:34:02 PDT 2009,NO_QUERY,mikejcarroll,finished setting up his 24-inch LED monitor and MacBook Pro 15&quot; for work.  YAY. Now of course I want a 24-inch LED monitor for home 
0,2191939879,Tue Jun 16 06:14:15 PDT 2009,NO_QUERY,Giggles1242,@razzamatazz87 we are...lol No i did'nt  gutted..lol did you go??
4,1678437803,Sat May 02 06:42:27 PDT 2009,NO_QUERY,ericap31,@PaoMiami he is way too cute!!  him and his big brother!  love my boys!!
4,1793330066,Thu May 14 02:16:22 PDT 2009,NO_QUERY,witchcody,@DavidArchie I truly enjoyed your appearance on the two local programs. 
0,1984378364,Sun May 31 14:59:35 PDT 2009,NO_QUERY,cliffk808,back to the muggy days 
0,2191356180,Tue Jun 16 05:06:09 PDT 2009,NO_QUERY,michellelynn69,@Iam_Angela bright! i just went to bed at 4 and got up at 6 im still tired   how is ur day going so far?
4,2052572157,Sat Jun 06 01:11:49 PDT 2009,NO_QUERY,aamelia,mum i want my soup 
4,2053175895,Sat Jun 06 03:34:18 PDT 2009,NO_QUERY,tangman1971,Hello hello hello!  i'm going to make someone's day today! 
4,1979688825,Sun May 31 04:06:14 PDT 2009,NO_QUERY,frombecca,@rolyatoj the easiest way to fix that - can you find yourself a good bottle Aussie wine in London? 
0,2326295446,Thu Jun 25 06:50:20 PDT 2009,NO_QUERY,cathhuang,@sunnyside__up aw paula.  i love you!
4,2069101025,Sun Jun 07 15:15:48 PDT 2009,NO_QUERY,ekluchini,@SuperwomanAK I have no problem screaming deep  Everyday.
0,2012022331,Tue Jun 02 19:56:41 PDT 2009,NO_QUERY,xoMarlen,HUGEE! @trvsbrkr's 3am Remix was played on KROQ! I missed it!  xo I love him his so amazing. xx*
0,1963501166,Fri May 29 12:49:08 PDT 2009,NO_QUERY,LilTyraBanks,Boooo my 2nd wkend bein 21 n ima b in tha house alone 
0,2201229954,Tue Jun 16 19:59:14 PDT 2009,NO_QUERY,shoegazer85,My car is sick &amp; in the shop 
4,2014329174,Wed Jun 03 01:10:12 PDT 2009,NO_QUERY,Warwiick,Just Wokee Upp  x
0,1985360885,Sun May 31 16:57:31 PDT 2009,NO_QUERY,Diamond_Ice,And at this present time I am not feeling twitterfon!..hopefully I get used to it or I'm gonna have to add a next twitter app   Y in NYC!
4,2012999758,Tue Jun 02 21:42:32 PDT 2009,NO_QUERY,youngnik718,YO @TROYAVE TOOK ME BACK... WHEN FLY WAS REALLY FLY  LOVE FOLLOWING HIM LOL
0,2262731219,Sat Jun 20 23:06:48 PDT 2009,NO_QUERY,DarlaRae,@Vix531 i hear ya  but if it's paying less can't you try and see if UE will pay the diff for now?
0,1978557128,Sat May 30 23:43:54 PDT 2009,NO_QUERY,syellefan88,@autumn0000 awww  hows the comp coming?
